Date,Type,Volume,Term,Price
18/09/2024,PRC,200000,Spot,2.38
19/09/2024,PRC,400000,Spot,2.4
19/09/2024,PRC,100000,Spot,2.4
20/09/2024,PRC,50000,Spot,2.42
24/09/2024,PRC,30000,Spot,2.45
30/09/2024,PRC,210000,Spot,2.3
1/10/2024,PRC,50000,Spot,2.25
1/10/2024,PRC,150000,Spot,2.25
1/10/2024,PRC,200000,Spot,2.26
2/10/2024,PRC,100000,Spot,2.3
4/10/2024,PRC,100000,Spot,2.28
8/10/2024,PRC,50000,Spot,2.3
10/10/2024,PRC,50000,Spot,2.32
11/10/2024,PRC,50000,Spot,2.32
11/10/2024,PRC,50000,Spot,2.32
14/10/2024,PRC,100000,Spot,2.33
16/10/2024,PRC,150000,Spot,2.4
16/10/2024,PRC,50000,Spot,2.38
16/10/2024,PRC,50000,Spot,2.38
16/10/2024,PRC,75000,Spot,2.38
16/10/2024,PRC,50000,Spot,2.45
16/10/2024,PRC,350000,Spot,2.4
16/10/2024,PRC,500000,Spot,2.4
16/10/2024,PRC,10000,Spot,2.4
16/10/2024,PRC,50000,Spot,2.4
16/10/2024,PRC,50000,Spot,2.34
17/10/2024,PRC,50000,Spot,2.43
17/10/2024,PRC,50000,Spot,2.45
17/10/2024,PRC,400000,Spot,2.4
21/10/2024,PRC,50000,Spot,2.45
22/10/2024,PRC,100000,Spot,2.46
23/10/2024,PRC,200000,Spot,2.55
23/10/2024,PRC,100000,Spot,2.55
23/10/2024,PRC,50000,Spot,2.55
23/10/2024,PRC,250000,Spot,2.5
23/10/2024,PRC,50000,Spot,2.5
23/10/2024,PRC,200000,Spot,2.49
25/10/2024,PRC,50000,Spot,2.58
25/10/2024,PRC,50000,Spot,2.6
25/10/2024,PRC,50000,Spot,2.58
30/10/2024,PRC,50000,Spot,2.5
30/10/2024,PRC,50000,Spot,2.58
31/10/2024,PRC,200000,Spot,2.5
1/11/2024,PRC,200000,Spot,2.41
1/11/2024,PRC,50000,Spot,2.42
1/11/2024,PRC,100000,Spot,2.42
1/11/2024,PRC,500000,Spot,2.42
1/11/2024,PRC,210000,Spot,2.45
6/11/2024,PRC,500000,Spot,2.47
7/11/2024,PRC,50000,Spot,2.47
11/11/2024,PRC,50000,Spot,2.47
12/11/2024,PRC,100000,Spot,2.47
13/11/2024,PRC,100000,Spot,2.45
14/11/2024,PRC,50000,Spot,2.42
14/11/2024,PRC,75000,Spot,2.4
14/11/2024,PRC,50000,Spot,2.43
15/11/2024,PRC,50000,Spot,2.45
19/11/2024,PRC,50000,Spot,2.45
20/11/2024,PRC,30000,Spot,2.45
21/11/2024,PRC,150000,Spot,2.4
25/11/2024,PRC,400000,Spot,2.39
26/11/2024,PRC,100000,Spot,2.41
27/11/2024,PRC,150000,Spot,2.39
27/11/2024,PRC,250000,Spot,2.4
27/11/2024,PRC,50000,Spot,2.4
28/11/2024,PRC,50000,Spot,2.39
28/11/2024,PRC,100000,Spot,2.39
3/12/2024,PRC,50000,Spot,2.4
3/12/2024,PRC,50000,Spot,2.4
4/12/2024,PRC,500000,Spot,2.41
5/12/2024,PRC,250000,Spot,2.39
6/12/2024,PRC,150000,Spot,2.37
9/12/2024,PRC,150000,Spot,2.36
10/12/2024,PRC,25000,Spot,2.35
10/12/2024,PRC,50000,Spot,2.36
12/12/2024,PRC,170000,Spot,2.4
12/12/2024,PRC,150000,Spot,2.36
16/12/2024,PRC,50000,Spot,2.4
17/12/2024,PRC,50000,Spot,2.4
19/12/2024,PRC,100000,Spot,2.51
19/12/2024,PRC,100000,Spot,2.51
19/12/2024,PRC,100000,Spot,2.5
7/01/2025,PRC,50000,Spot,2.5
8/01/2025,PRC,32000,Spot,2.46
8/01/2025,PRC,50000,Spot,2.49
8/01/2025,PRC,475000,Spot,2.49
14/01/2025,PRC,100000,Spot,2.5
14/01/2025,PRC,50000,Spot,2.5
14/01/2025,PRC,300000,Spot,2.5
16/01/2025,PRC,25000,Spot,2.5
17/01/2025,PRC,100000,Spot,2.5
20/01/2025,PRC,50000,Spot,2.51
21/01/2025,PRC,100000,Spot,2.55
21/01/2025,PRC,250000,Spot,2.55
21/01/2025,PRC,150000,Spot,2.53
21/01/2025,PRC,350000,Spot,2.55
22/01/2025,PRC,100000,Spot,2.6
22/01/2025,PRC,200000,Spot,2.6
22/01/2025,PRC,50000,Spot,2.6
22/01/2025,PRC,150000,Spot,2.57
22/01/2025,PRC,150000,Spot,2.55
23/01/2025,PRC,100000,Spot,2.6
24/01/2025,PRC,150000,Spot,2.65
24/01/2025,PRC,50000,Spot,2.65
24/01/2025,PRC,100000,Spot,2.66
24/01/2025,PRC,100000,Spot,2.63
28/01/2025,PRC,100000,Spot,2.66
28/01/2025,PRC,25000,Spot,2.67
30/01/2025,PRC,50000,Spot,2.66
31/01/2025,PRC,50000,Spot,2.66
3/02/2025,PRC,50000,Spot,2.66
4/02/2025,PRC,50000,Spot,2.6
4/02/2025,PRC,50000,Spot,2.6
4/02/2025,PRC,250000,Spot,2.62
4/02/2025,PRC,250000,Spot,2.64
5/02/2025,PRC,100000,Spot,2.6
5/02/2025,PRC,50000,Spot,2.6
5/02/2025,PRC,50000,Spot,2.6
6/02/2025,PRC,35000,Spot,2.58
14/02/2025,PRC,100000,Spot,2.6
14/02/2025,PRC,165000,Spot,2.6
17/02/2025,PRC,100000,Spot,2.56
18/02/2025,PRC,50000,Spot,2.52
18/02/2025,PRC,100000,Spot,2.52
18/02/2025,PRC,100000,Spot,2.54
18/02/2025,PRC,100000,Spot,2.53
19/02/2025,PRC,100000,Spot,2.54
20/02/2025,PRC,50000,Spot,2.57
24/02/2025,PRC,300000,Spot,2.58
27/02/2025,PRC,50000,Spot,2.58
3/03/2025,PRC,50000,Spot,2.58
5/03/2025,PRC,50000,Spot,2.61
6/03/2025,PRC,25000,Spot,2.63
6/03/2025,PRC,50000,Spot,2.61
6/03/2025,PRC,50000,Spot,2.61
10/03/2025,PRC,90000,Spot,2.63
11/03/2025,PRC,50000,Spot,2.63
12/03/2025,PRC,65000,Spot,2.61
14/03/2025,PRC,300000,Spot,2.59
18/03/2025,PRC,50000,Spot,2.63
18/03/2025,PRC,120000,Spot,2.61
18/03/2025,PRC,50000,Spot,2.59
19/03/2025,PRC,50000,Spot,2.61
19/03/2025,PRC,30000,Spot,2.58
20/03/2025,PRC,50000,Spot,2.59
25/03/2025,PRC,80000,Spot,2.63
25/03/2025,PRC,100000,Spot,2.6
25/03/2025,PRC,50000,Spot,2.59
27/03/2025,PRC,150000,Spot,2.64
28/03/2025,PRC,125000,Spot,2.64
