Date,Type,Volume,Term,Price
24/02/2016,ESC,5000,Spot,27.95
25/02/2016,ESC,5000,Spot,27.95
1/03/2016,ESC,10000,Spot,28
2/03/2016,ESC,5000,Spot,28.05
2/03/2016,ESC,5000,Spot,28
7/03/2016,ESC,9300,Spot,28
8/03/2016,ESC,5500,Spot,27.7
9/03/2016,ESC,5700,Spot,27.7
9/03/2016,ESC,5000,Spot,27.6
10/03/2016,ESC,5000,Spot,27.5
16/03/2016,ESC,25000,Spot,27
16/03/2016,ESC,5000,Spot,26.6
16/03/2016,ESC,5000,Spot,26.6
16/03/2016,ESC,5000,Spot,26.6
16/03/2016,ESC,5000,Spot,26.4
17/03/2016,ESC,5000,Spot,26.4
18/03/2016,ESC Strip,5000,Spot,26.4
22/03/2016,ESC,5000,Spot,26.65
23/03/2016,ESC,10000,Spot,26.65
24/03/2016,ESC,12500,Spot,26.95
24/03/2016,ESC,5000,Spot,27
29/03/2016,ESC,10000,Spot,27.25
30/03/2016,ESC,10000,Spot,27.25
4/04/2016,ESC,5000,Spot,27.25
5/04/2016,ESC,10000,Spot,27.35
5/04/2016,ESC,10000,Spot,27.4
8/04/2016,ESC,10000,Spot,27.1
13/04/2016,ESC,10000,Spot,26.8
13/04/2016,ESC,6100,Spot,27
18/04/2016,ESC,7100,Spot,27.1
19/04/2016,ESC,20000,Spot,27.1
20/04/2016,ESC,5000,Spot,27.1
21/04/2016,ESC,10000,Spot,27.05
22/04/2016,ESC,5000,Spot,26.95
22/04/2016,ESC,5000,Spot,26.9
26/04/2016,ESC,5000,Spot,27.05
27/04/2016,ESC,5000,Spot,27.05
27/04/2016,ESC,5000,Spot,27.1
28/04/2016,ESC,7500,Spot,27.1
28/04/2016,ESC,5800,Spot,27.1
2/05/2016,ESC,10000,Spot,26.95
3/05/2016,ESC,5000,Spot,26.9
4/05/2016,ESC,5000,Spot,26.75
5/05/2016,ESC,5000,Spot,26.65
10/05/2016,ESC,8000,Spot,26.8
11/05/2016,ESC,10000,Spot,27
12/05/2016,ESC,5000,Spot,27.05
16/05/2016,ESC,8000,Spot,27.1
19/05/2016,ESC,5000,Spot,27.05
20/05/2016,ESC,10000,Spot,27
23/05/2016,ESC,14000,Spot,27
24/05/2016,ESC,5800,Spot,26.85
30/05/2016,ESC,5000,Spot,26.6
31/05/2016,ESC,5000,Spot,26.35
7/06/2016,ESC,5000,Spot,26
7/06/2016,ESC,20000,Spot,26.1
7/06/2016,ESC,5000,Spot,26.2
10/06/2016,ESC,11000,Spot,25.8
16/06/2016,ESC,13000,Spot,25.8
17/06/2016,ESC,5000,Spot,25.8
21/06/2016,ESC,8500,Spot,25.6
22/06/2016,ESC,11000,Spot,25.6
22/06/2016,ESC,10000,Spot,25.6
23/06/2016,ESC,5000,Spot,25.3
30/06/2016,ESC,20000,Spot,25.45
6/07/2016,ESC,12000,Spot,25.25
6/07/2016,ESC,20000,Spot,25.25
7/07/2016,ESC,6000,Spot,25.05
7/07/2016,ESC,5000,Spot,25
7/07/2016,ESC,5000,Spot,24.9
13/07/2016,ESC,10000,Spot,24.9
14/07/2016,ESC,5000,Spot,24.6
18/07/2016,ESC,5000,Spot,25
18/07/2016,ESC,5000,Spot,25
18/07/2016,ESC,5000,Spot,25
19/07/2016,ESC,10000,Spot,24.9
20/07/2016,ESC,5000,Spot,25
4/08/2016,ESC,5200,Spot,24.75
9/08/2016,ESC,5000,Spot,25
9/08/2016,ESC,7500,Spot,25
9/08/2016,ESC,5000,Spot,25
11/08/2016,ESC,5000,Spot,25
11/08/2016,ESC,10000,Spot,25.2
11/08/2016,ESC,5700,Spot,25.2
12/08/2016,ESC,5000,Spot,25.4
12/08/2016,ESC,5000,Spot,25.5
24/08/2016,ESC,5000,Spot,25.1
31/08/2016,ESC,5000,Spot,25
7/09/2016,ESC,5000,Spot,24.75
13/09/2016,ESC,15000,Spot,24.85
13/09/2016,ESC,10000,Spot,24.9
19/09/2016,ESC,5000,Spot,24.75
19/09/2016,ESC,10000,Spot,24.75
26/09/2016,ESC,7000,Spot,21.4
29/09/2016,ESC,15000,Spot,22.5
4/10/2016,ESC,20000,Spot,22.4
4/10/2016,ESC,10000,Spot,22.5
6/10/2016,ESC,10000,Spot,22.5
6/10/2016,ESC,5000,Spot,22.5
6/10/2016,ESC,15000,Spot,22.6
6/10/2016,ESC,10000,Spot,22.6
12/10/2016,ESC,15000,Spot,22.65
13/10/2016,ESC,5000,Spot,22.8
13/10/2016,ESC,5000,Spot,23
13/10/2016,ESC,5000,Spot,23
14/10/2016,ESC,5000,Spot,23
21/10/2016,ESC,14000,Spot,23.1
25/10/2016,ESC,5000,Spot,23.1
25/10/2016,ESC,6000,Spot,23.1
26/10/2016,ESC,5000,Spot,23.15
2/11/2016,ESC,5000,Spot,22.85
3/11/2016,ESC,5400,Spot,22.55
7/11/2016,ESC,10000,Spot,22.25
8/11/2016,ESC,5000,Spot,22
9/11/2016,ESC,5000,Spot,21.75
10/11/2016,ESC,5000,Spot,21.55
15/11/2016,ESC,12000,Spot,21.25
15/11/2016,ESC,6000,Spot,21.35
15/11/2016,ESC,10000,Spot,21.25
16/11/2016,ESC,8000,Spot,21.1
16/11/2016,ESC,5000,Spot,21
16/11/2016,ESC,5300,Spot,20
17/11/2016,ESC,5000,Spot,19.5
18/11/2016,ESC,20000,Spot,19.6
21/11/2016,ESC,10000,Spot,19.25
21/11/2016,ESC,10000,Spot,19.05
21/11/2016,ESC,5000,Spot,18.9
22/11/2016,ESC,5000,Spot,18.5
23/11/2016,ESC,15000,Spot,18.35
23/11/2016,ESC,5000,Spot,18.25
23/11/2016,ESC,5000,Spot,18.35
23/11/2016,ESC,10000,Spot,18.1
23/11/2016,ESC,17000,Spot,18.1
24/11/2016,ESC,5000,Spot,18.25
24/11/2016,ESC,10000,Spot,18.25
24/11/2016,ESC,5000,Spot,18.25
30/11/2016,ESC,12000,Spot,19
30/11/2016,ESC,12000,Spot,19
1/12/2016,ESC,5000,Spot,19.2
5/12/2016,ESC,5000,Spot,19.45
5/12/2016,ESC,5000,Spot,19.45
6/12/2016,ESC,5000,Spot,19.7
6/12/2016,ESC,10000,Spot,19.7
6/12/2016,ESC,8000,Spot,19.85
8/12/2016,ESC,10000,Spot,19.9
8/12/2016,ESC,5700,Spot,20
9/12/2016,ESC,5000,Spot,20.05
12/12/2016,ESC,11000,Spot,20.35
14/12/2016,ESC,13000,Spot,19.9
14/12/2016,ESC,5000,Spot,19.85
15/12/2016,ESC,7000,Spot,20
16/12/2016,ESC,6000,Spot,20.15
22/12/2016,ESC,5000,Spot,19.5
11/01/2017,ESC,15000,Spot,19.6
13/01/2017,ESC,10000,Spot,19.6
16/01/2017,ESC,5000,Spot,19.75
16/01/2017,ESC,5000,Spot,20
16/01/2017,ESC,5000,Spot,20.05
19/01/2017,ESC,7300,Spot,20.3
30/01/2017,ESC,5000,Spot,19.05
30/01/2017,ESC,10000,Spot,19
30/01/2017,ESC,5000,Spot,19
