Brand,Model,Product Website,Available,Pool Pump Type,Input Power,Current,Star Rating Index,Star Rating,Weighted Energy Factor,Daily Run Time,Projected Annual Energy Consumption (KWh/year),Date Available Until,Star Image Large,Star Image Small
Water TechniX Powered By LEO,WT-XKP1104T,https://www.mrpoolman.com.au/,Australia,Single speed,1012.5,4.667,1.43,1.0,14.785,3.34,1234.3,2022-08-22,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
RELTECH,PR150,,"Australia,Fiji,New Zealand",Single speed,1435.0,5.65,1.18,1.0,12.371,3.1211,1475.3,2027-08-24,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
AQUATIGHT,S450,,"Australia,Fiji,New Zealand",Single speed,1435.0,5.65,1.18,1.0,12.371,3.1211,1475.3,2027-08-24,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
OASIS,P380,,"Australia,Fiji,New Zealand",Single speed,1435.0,5.65,1.18,1.0,12.371,3.1211,1475.3,2027-08-24,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
OASIS,PR150,,"Australia,Fiji,New Zealand",Single speed,1435.0,5.65,1.18,1.0,12.371,3.1211,1475.3,2027-08-24,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
AQUATIGHT,PR150,,"Australia,Fiji,New Zealand",Single speed,1435.0,5.65,1.18,1.0,12.371,3.1211,1475.3,2027-08-24,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
Pentair,MP730100,,"Australia,Fiji,New Zealand",Single speed,925.0,4.1,1.23,1.0,14.567,3.7306,1252.8,2027-09-08,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
Pentair,MP930100,,"Australia,Fiji,New Zealand",Single speed,1160.0,5.4,1.25,1.0,13.559,3.3729,1346.0,2027-09-08,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
Aquatight,Saturn 0.75HP,,"Australia,Fiji,New Zealand",Single speed,626.0,2.8,1.58,1.5,17.768,4.9368,1027.1,2027-09-08,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
Aquatight,Saturn 1.0 HP,,"Australia,Fiji,New Zealand",Single speed,793.0,3.5,1.5,1.5,16.255,4.085,1122.7,2027-09-08,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
