Accepted Product ID,Product Type,Method(s),Activity Definition,Brand,Model Number,Driver Brand (if declared article),Driver Model Number (if declared article),Lifetime in hours (if applicable) 	,Strip light length in meters (if applicable) ,Light output (lm) (if applicable) ,Accepted LCP/NLP Value,AS/NZS4234 version,Zone 3 System Size,Zone 3 Peak Load (MJ/day) ,Zone 3 Annual Energy Savings %,Zone 3 Bs (GJ/year) ,Zone 3 Be (GJ/year),Zone 3 HPelec (GJ/year),Zone 3 HPgas (GJ/year),Zone 3 RefElec (GJ/year),Zone 5 System Size ,Zone 5 Peak Load (MJ/day) ,Zone 5 Annual Energy Savings % ,Zone 5 Bs (GJ/year) ,Zone 5 Be (GJ/year),Zone 5 HPelec (GJ/year),Zone 5 HPgas (GJ/year),Zone 5 RefElec (GJ/year),No. of hot water tank(s) ,Tank Model Number ,Tank Size (L) ,Pre-heat tank model number(s),Finishing tank model number(s) ,Pre-heat tank volume (L) ,Finishing tank volume (L) ,Total system tank volume (L) ,Collector Type,Collector Model Number,No. of collectors,No. of  heat pump(s),Heat pump unit model number(s) ,Total heat pump thermal capacity (kW) ,System booster type ,Booster model number(s) ,Total thermal capacity (kW),System Type,Refrigerant type (GWP),Refrigerant charge (kg),AS/NZS 2712 Certificate Expiry,Limitations,Effective From,Effective To,Status
ACC0017420,LED Luminaires - High/Low Bay,Commercial Lighting,,XSY LED,XSY-HBPE200W-D,,,,,,202.1,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2019-02-20,,Active
ACC0017364,LED Luminaires - Linear Lamp,Commercial Lighting,,XSY LED,XSY-TP50W15-MS,,,,,,52.6,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2019-02-20,,Active
ACC0017335,LED Luminaires - Linear Lamp,Commercial Lighting,,XSY LED,XSY-TP15W06-MS,,,,,,15.2,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2019-02-20,,Active
ACC0017347,LED Luminaires - Linear Lamp,Commercial Lighting,,XSY LED,XSY-TP36W12-MS,,,,,,36.5,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2019-02-20,,Active
ACC0017341,LED Luminaires - Linear Lamp,Commercial Lighting,,XSY LED,XSY-TP20W06-MS,,,,,,20.7,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2019-02-20,,Active
ACC0014393,LED Luminaires - Floodlight,Commercial Lighting,,XSY LED,XSY-SBFL100W,,,,,,100.7,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2018-09-12,,Active
ACC0017390,LED Luminaires - High/Low Bay,Commercial Lighting,,XSY LED,XSY-HBPE120W-DH,,,,,,118.6,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2019-02-20,,Active
ACC0017382,LED Luminaires - High/Low Bay,Commercial Lighting,,XSY LED,XSY-HBPE100W-D,,,,,,100.94,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2019-02-20,,Active
ACC0014403,LED Luminaires - Floodlight,Commercial Lighting,,XSY LED,XSY-SBFL300W,,,,,,301.4,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2018-09-12,,Active
ACC0014373,LED Luminaires - Floodlight,Commercial Lighting,,XSY LED,XSY-SBFL30W,,,,,,30.3,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2018-09-12,,Active
